2026-09-01 08:41:43.019 | INFO     | app.config.config:load_config:471 - load config from file: /home/kodar/face/config.toml
2026-09-01 08:41:43.029 | INFO     | app.config.config:<module>:588 - MoneyPrinterTurbo v1.3.5
2026-09-01 08:41:45.832 | INFO     | worker:generate_niche_script:178 - Generating research-grounded script for 'The Baghdad Battery and Ancient Electricity' via qwen3-coder-agent:latest...
2026-09-01 08:41:45.833 | INFO     | app.services.llm:_generate_response:155 - llm provider: deepseek
2026-09-01 08:49:03.963 | INFO     | app.config.config:load_config:471 - load config from file: /home/kodar/face/config.toml
2026-09-01 08:49:03.971 | INFO     | app.config.config:<module>:588 - MoneyPrinterTurbo v1.3.5
2026-09-01 08:49:06.339 | INFO     | core.researcher:fetch_topic_research:21 - [Researcher] Sourcing factual intel for: 'The Baghdad Battery and Ancient Electricity'...
2026-09-01 08:49:08.248 | INFO     | core.researcher:fetch_topic_research:55 - [Researcher] Sourced context (375 chars): The Baghdad Battery or Parthian Battery are the names given to an artifact consisting of a ceramic pot, a tube of copper...
2026-09-01 08:49:08.261 | INFO     | __main__:generate_niche_script:178 - Generating research-grounded script for 'The Baghdad Battery and Ancient Electricity' via qwen3-coder-agent:latest...
2026-09-01 08:49:08.262 | INFO     | app.services.llm:_generate_response:155 - llm provider: deepseek
2026-09-01 08:49:14.789 | INFO     | app.services.llm:_generate_response:155 - llm provider: deepseek
2026-09-01 08:49:17.069 | INFO     | app.services.voice:azure_tts_v1:841 - start, voice name: en-US-ChristopherNeural, try: 1
2026-09-01 08:49:32.058 | INFO     | app.services.voice:azure_tts_v1:870 - completed, output file: /home/kodar/face/storage/tasks/59115d01-6bc3-444e-9208-7d989dc025ca/audio.mp3
2026-09-01 08:49:32.337 | INFO     | app.services.voice:azure_tts_v1:841 - start, voice name: en-US-ChristopherNeural, try: 1
2026-09-01 08:49:34.405 | INFO     | app.services.voice:azure_tts_v1:870 - completed, output file: /home/kodar/face/storage/tasks/59115d01-6bc3-444e-9208-7d989dc025ca/audio.mp3
2026-09-01 08:49:34.422 | INFO     | app.services.voice:_write_subtitle_items:2000 - completed, subtitle file created: /home/kodar/face/storage/tasks/59115d01-6bc3-444e-9208-7d989dc025ca/subtitle.srt, duration: 130.75
2026-09-01 08:49:34.438 | INFO     | core.director:plan_shotlist:49 - [Movie Director] Planning cinematic storyboard for 'The Baghdad Battery and Ancient Electricity' (37 shots)...
2026-09-01 08:49:34.438 | INFO     | core.director:plan_shotlist:76 - [Movie Director] Planning storyboard via fast lightweight 'qwen3:8b'...
2026-09-01 08:49:34.438 | INFO     | app.services.llm:_generate_response:155 - llm provider: deepseek
2026-09-01 08:50:09.766 | INFO     | core.director:plan_shotlist:84 - [Movie Director] Offloaded 'qwen3:8b' from GPU. VRAM is 100% free for ComfyUI.
2026-09-01 08:50:49.317 | INFO     | app.config.config:load_config:471 - load config from file: /home/kodar/face/config.toml
2026-09-01 08:50:49.322 | INFO     | app.config.config:<module>:588 - MoneyPrinterTurbo v1.3.5
2026-09-01 08:50:51.658 | INFO     | core.researcher:fetch_topic_research:21 - [Researcher] Sourcing factual intel for: 'The Baghdad Battery and Ancient Electricity'...
2026-09-01 08:50:53.226 | INFO     | core.researcher:fetch_topic_research:55 - [Researcher] Sourced context (375 chars): The Baghdad Battery or Parthian Battery are the names given to an artifact consisting of a ceramic pot, a tube of copper...
2026-09-01 08:50:53.238 | INFO     | __main__:generate_niche_script:178 - Generating research-grounded script for 'The Baghdad Battery and Ancient Electricity' via qwen3-coder-agent:latest...
2026-09-01 08:50:53.238 | INFO     | app.services.llm:_generate_response:155 - llm provider: deepseek
2026-09-01 08:50:58.540 | INFO     | app.services.llm:_generate_response:155 - llm provider: deepseek
2026-09-01 08:51:00.529 | INFO     | app.services.voice:azure_tts_v1:841 - start, voice name: en-US-ChristopherNeural, try: 1
2026-09-01 08:51:11.906 | INFO     | app.services.voice:azure_tts_v1:870 - completed, output file: /home/kodar/face/storage/tasks/981f3b10-d714-469c-879a-e6b1e69b3a7a/audio.mp3
2026-09-01 08:51:12.158 | INFO     | app.services.voice:azure_tts_v1:841 - start, voice name: en-US-ChristopherNeural, try: 1
2026-09-01 08:51:13.981 | INFO     | app.services.voice:azure_tts_v1:870 - completed, output file: /home/kodar/face/storage/tasks/981f3b10-d714-469c-879a-e6b1e69b3a7a/audio.mp3
2026-09-01 08:51:13.995 | INFO     | app.services.voice:_write_subtitle_items:2000 - completed, subtitle file created: /home/kodar/face/storage/tasks/981f3b10-d714-469c-879a-e6b1e69b3a7a/subtitle.srt, duration: 88.925
2026-09-01 08:51:14.008 | INFO     | core.director:plan_shotlist:49 - [Movie Director] Planning cinematic storyboard for 'The Baghdad Battery and Ancient Electricity' (23 shots)...
2026-09-01 08:51:14.008 | INFO     | core.director:plan_shotlist:76 - [Movie Director] Planning storyboard via fast lightweight 'qwen3:8b'...
2026-09-01 08:51:14.009 | INFO     | app.services.llm:_generate_response:155 - llm provider: deepseek
2026-09-01 08:51:48.530 | INFO     | core.director:plan_shotlist:84 - [Movie Director] Offloaded 'qwen3:8b' from GPU. VRAM is 100% free for ComfyUI.
2026-09-01 08:51:48.532 | INFO     | core.director:plan_shotlist:164 - [Movie Director] Storyboard ready: 10 Real Motion Shots | 13 Custom SDXL Shots.
2026-09-01 08:51:48.549 | INFO     | core.comfy_client:ensure_running:46 - [ComfyUI] Server is offline, launching ComfyUI on RTX 2070...
2026-09-01 08:51:58.583 | INFO     | core.comfy_client:ensure_running:52 - [ComfyUI] Server is ready and responsive.
2026-09-01 08:51:58.594 | INFO     | core.comfy_client:generate_scene_image:135 - [ComfyUI] Queuing SDXL render: 'dramatic cinematic photorealistic shot of The Baghdad Batter'...
